ime,vrsta
Sveta Gora,cerkev
Sv. Katarina nad Novokračinami,vrh
Sv. Katarina nad Novokračinami,cerkev
Sv. Katarina nad Novokračinami,vrh
Sv. Katarina nad Novokračinami,cerkev
Sveta Barbara (Ravnik pri Hotedršici),vrh
Sveta Barbara (Ravnik pri Hotedršici),cerkev
Sveta Barbara (Ravnik pri Hotedršici),vrh
Sveta Barbara (Ravnik pri Hotedršici),cerkev
Goropeški grič (Pikrej),vrh
Goropeški grič (Pikrej),vrh
Skozno,vrh
Skozno,vrh
Kokoš,vrh
Kokoš,koča
Kokoš,vrh
Kokoš,koča
Rajna peč,vrh
Rajna peč,vrh
Vodice,vrh
Vodice,vrh
Jampršnik,vrh
Jampršnik,vrh
Škabrijel,vrh
Škabrijel,vrh
Trstelj,vrh
Trstelj,vrh
Rimska trdnjava (Lanišče),vrh
Rimska trdnjava (Lanišče),vrh
Frančiškov hrib,vrh
Frančiškov hrib,vrh
Stol (Črni hribi),vrh
Stol (Črni hribi),vrh
Strmica,vrh
Strmica,vrh
Lovska koča Plehanov laz,koča
Lovska koča Plehanov laz,koča
Partizanska bolnica Krvavice,koča
Partizanska bolnica Krvavice,koča
Kuk nad Paljevim,vrh
Kuk nad Paljevim,bivak
Kuk nad Paljevim,vrh
Kuk nad Paljevim,bivak
Lovski dom pod Glavico,koča
Lovski dom pod Glavico,sedlo
Lovski dom pod Glavico,koča
Lovski dom pod Glavico,sedlo
Stjenkova koča na Trstelju,koča
Stjenkova koča na Trstelju,koča
Sabotin,vrh
Sabotin,vrh
Vitovski hrib,vrh
Vitovski hrib,cerkev
Vitovski hrib,vrh
Vitovski hrib,cerkev
Stari tabor,vrh
Stari tabor,vrh
Unška koliševka,vrh
Unška koliševka,vrh
Zidovnik (Sedovnik),vrh
Zidovnik (Sedovnik),vrh
Sveti Tomaž (Planinca),cerkev
Sveti Tomaž (Planinca),cerkev
Soteska Pekel 5. slap,slap
Soteska Pekel 5. slap,slap
Stolovec,vrh
Stolovec,vrh
Sveta Ana (Razguri),vrh
Sveta Ana (Razguri),jezero
Sveta Ana (Razguri),cerkev
Sveta Ana (Razguri),vrh
Sveta Ana (Razguri),jezero
Sveta Ana (Razguri),cerkev
Dom na Sabotinu,koča
Dom na Sabotinu,koča
Sveti Socerb (Vipavska brda),vrh
Sveti Socerb (Vipavska brda),cerkev
Sveti Socerb (Vipavska brda),vrh
Sveti Socerb (Vipavska brda),cerkev
Stari grad nad Želimljami,vrh
Stari grad nad Želimljami,vrh
Štanjel (Sveti Danijel),vrh
Štanjel (Sveti Danijel),vrh
Lešenjak,vrh
Lešenjak,vrh
Volnik,vrh
Volnik,vrh
Sekirica,vrh
Sekirica,vrh
Griček,vrh
Griček,vrh
Sveti Ambrož (Tabor),vrh
Sveti Ambrož (Tabor),vrh
Štivanski log,jezero
Štivanski log,jezero
Petelinjsko jezero,jezero
Petelinjsko jezero,jezero
Plaz,vrh
Plaz,vrh
Veliki hrib (kota 526),vrh
Veliki hrib (kota 526),vrh
Kuren (Sveti Miklavž),koča
Kuren (Sveti Miklavž),cerkev
Kuren (Sveti Miklavž),koča
Kuren (Sveti Miklavž),cerkev
Školj sv. Pavla nad Vrtovinom,vrh
Školj sv. Pavla nad Vrtovinom,cerkev
Školj sv. Pavla nad Vrtovinom,vrh
Školj sv. Pavla nad Vrtovinom,cerkev
Planinski dom v Novem Svetu,koča
Planinski dom v Novem Svetu,koča
Rakov Škocjan,koča
Rakov Škocjan,koča
Gura,vrh
Gura,cerkev
Gura,vrh
Gura,cerkev
Veliki Gradež,vrh
Veliki Gradež,vrh
Vrtovka,vrh
Vrtovka,vrh
Skrivski izvir,vrh
Skrivski izvir,vrh
Planinska jama,vrh
Planinska jama,vrh
Tri učke,vrh
Tri učke,vrh
Kuk,vrh
Kuk,vrh
Sveta Ana,vrh
Sveta Ana,cerkev
Sveta Ana,vrh
Sveta Ana,cerkev
Grčarevec,jezero
Grčarevec,jezero
Klada,jezero
Klada,jezero
Veliki Medvejk / Monte Orsario,vrh
Veliki Medvejk / Monte Orsario,vrh
Marija Snežna na Gradišcah,vrh
Marija Snežna na Gradišcah,cerkev
Marija Snežna na Gradišcah,vrh
Marija Snežna na Gradišcah,cerkev
Veliki vrh (Črni hribi),vrh
Veliki vrh (Črni hribi),vrh
Mengore,vrh
Mengore,cerkev
Mengore,vrh
Mengore,cerkev
Lačna,vrh
Lačna,vrh
Tupla jama,vrh
Tupla jama,vrh
Laze,jezero
Laze,planina
Laze,jezero
Laze,planina
Zjat,vrh
Zjat,vrh
Renški vrh,vrh
Renški vrh,vrh
Vitovsko jezero,jezero
Vitovsko jezero,jezero
Soteska Pekel 3. slap,slap
Soteska Pekel 3. slap,jezero
Soteska Pekel 3. slap,slap
Soteska Pekel 3. slap,jezero
Sveti Jožef (Mlečnik),vrh
Sveti Jožef (Mlečnik),cerkev
Sveti Jožef (Mlečnik),vrh
Sveti Jožef (Mlečnik),cerkev
Sveti Miklavž nad Vipavo,cerkev
Sveti Miklavž nad Vipavo,cerkev
Grad Socerb,vrh
Grad Socerb,koča
Grad Socerb,cerkev
