gorovje,ime,ogledi,priljubljenost,st_poti,st_slik,visina,vrsta
"Goriško, Notranjsko in Snežniško hribovje",Velika Špička,382139,79,4,3,955,vrh
"Goriško, Notranjsko in Snežniško hribovje",Velika Špička,382139,79,4,3,955,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mala Plešivica,214203,59,2,3,953,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mala Plešivica,214203,59,2,3,953,vrh
"Goriško, Notranjsko in Snežniško hribovje",Ježa,188750,56,2,4,949,vrh
"Goriško, Notranjsko in Snežniško hribovje",Ježa,188750,56,2,4,949,vrh
"Goriško, Notranjsko in Snežniško hribovje",Milanka,136687,50,1,1,948,vrh
"Goriško, Notranjsko in Snežniško hribovje",Milanka,136687,50,1,1,948,vrh
"Goriško, Notranjsko in Snežniško hribovje",Leskovica (nad Stražiščem),1390,23,2,3,947,vrh
"Goriško, Notranjsko in Snežniško hribovje",Leskovica (nad Stražiščem),1390,23,2,3,947,vrh
"Goriško, Notranjsko in Snežniško hribovje",Krempa,209112,59,1,3,944,vrh
"Goriško, Notranjsko in Snežniško hribovje",Krempa,209112,59,1,3,944,vrh
"Goriško, Notranjsko in Snežniško hribovje",Krimšček,233535,62,1,2,940,vrh
"Goriško, Notranjsko in Snežniško hribovje",Krimšček,233535,62,1,2,940,vrh
"Goriško, Notranjsko in Snežniško hribovje",Petričev hrib,282031,67,4,4,937,vrh
"Goriško, Notranjsko in Snežniško hribovje",Petričev hrib,282031,67,4,4,937,vrh
"Goriško, Notranjsko in Snežniško hribovje",Deveti konfin,185233,56,2,3,930,vrh
"Goriško, Notranjsko in Snežniško hribovje",Deveti konfin,185233,56,2,3,930,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kopitnik,252838,64,4,5,929,bivak
"Goriško, Notranjsko in Snežniško hribovje",Kopitnik,252838,64,4,5,929,bivak
"Goriško, Notranjsko in Snežniško hribovje",Srednji vrh pri Kozleku,183331,56,2,2,923,vrh
"Goriško, Notranjsko in Snežniško hribovje",Srednji vrh pri Kozleku,183331,56,2,2,923,vrh
"Goriško, Notranjsko in Snežniško hribovje",Dolski maj,173234,55,2,4,912,vrh
"Goriško, Notranjsko in Snežniško hribovje",Dolski maj,173234,55,2,4,912,vrh
"Goriško, Notranjsko in Snežniško hribovje",Velika Plešivica,234647,62,2,6,908,vrh
"Goriško, Notranjsko in Snežniško hribovje",Velika Plešivica,234647,62,2,6,908,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lovska koča Urška,146137,51,1,2,908,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Lovska koča Urška,146137,51,1,2,908,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Očna,158555,53,2,2,906,vrh
"Goriško, Notranjsko in Snežniško hribovje",Očna,158555,53,2,2,906,vrh
"Goriško, Notranjsko in Snežniško hribovje",Dom na Travni Gori,291592,68,2,5,906,koča
"Goriško, Notranjsko in Snežniško hribovje",Dom na Travni Gori,291592,68,2,5,906,koča
"Goriško, Notranjsko in Snežniško hribovje",Furlanovo zavetišče pri Abramu,497015,90,8,6,900,koča
"Goriško, Notranjsko in Snežniško hribovje",Furlanovo zavetišče pri Abramu,497015,90,8,6,900,koča
"Goriško, Notranjsko in Snežniško hribovje",Kraguljc,4905,35,3,2,897,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kraguljc,4905,35,3,2,897,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bezgarska planina,2192,28,4,6,895,planina
"Goriško, Notranjsko in Snežniško hribovje",Bezgarska planina,2192,28,4,6,895,planina
"Goriško, Notranjsko in Snežniško hribovje",Marutnik,3810,33,2,4,892,vrh
"Goriško, Notranjsko in Snežniško hribovje",Marutnik,3810,33,2,4,892,vrh
"Goriško, Notranjsko in Snežniško hribovje",Golič,366461,77,5,11,890,vrh
"Goriško, Notranjsko in Snežniško hribovje",Golič,366461,77,5,11,890,vrh
"Goriško, Notranjsko in Snežniško hribovje",Gozdarska koča Pri logarnici,151663,52,1,4,889,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Gozdarska koča Pri logarnici,151663,52,1,4,889,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Nadglavinjak,114453,48,1,2,888,vrh
"Goriško, Notranjsko in Snežniško hribovje",Nadglavinjak,114453,48,1,2,888,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sekulak,280348,67,3,2,888,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Sekulak,280348,67,3,2,888,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Vrh Svetih Treh Kraljev,431704,84,9,13,884,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Vrh Svetih Treh Kraljev,431704,84,9,13,884,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Kavčič,235443,62,3,7,879,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kavčič,235443,62,3,7,879,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lovska koča na Planinski gori,311956,71,4,5,879,koča
"Goriško, Notranjsko in Snežniško hribovje",Lovska koča na Planinski gori,311956,71,4,5,879,koča
"Goriško, Notranjsko in Snežniško hribovje",Loška stena,12380,38,5,5,875,vrh
"Goriško, Notranjsko in Snežniško hribovje",Loška stena,12380,38,5,5,875,vrh
"Goriško, Notranjsko in Snežniško hribovje",Grmada (Planinska gora),350772,75,3,3,873,vrh
"Goriško, Notranjsko in Snežniško hribovje",Grmada (Planinska gora),350772,75,3,3,873,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sončnica (Reber),5307,35,3,5,867,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sončnica (Reber),5307,35,3,5,867,vrh
"Goriško, Notranjsko in Snežniško hribovje",Vrh Skopice,150836,52,2,2,863,vrh
"Goriško, Notranjsko in Snežniško hribovje",Vrh Skopice,150836,52,2,2,863,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bele stene,220420,60,2,3,863,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Bele stene,220420,60,2,3,863,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Kuželjska stena,2990,31,1,3,857,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kuželjska stena,2990,31,1,3,857,vrh
"Goriško, Notranjsko in Snežniško hribovje",Križna gora,479915,89,3,5,857,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Križna gora,479915,89,3,5,857,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Navrše,260642,65,3,5,857,vrh
"Goriško, Notranjsko in Snežniško hribovje",Navrše,260642,65,3,5,857,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveta Marija Magdalena (Gore),3030,31,2,3,851,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Sveta Marija Magdalena (Gore),3030,31,2,3,851,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Belovka,149517,52,2,3,848,vrh
"Goriško, Notranjsko in Snežniško hribovje",Belovka,149517,52,2,3,848,vrh
"Goriško, Notranjsko in Snežniško hribovje",Otliški maj,262442,65,3,3,847,vrh
"Goriško, Notranjsko in Snežniško hribovje",Otliški maj,262442,65,3,3,847,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Vid (Vidovska planota),177819,55,3,9,846,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Sveti Vid (Vidovska planota),177819,55,3,9,846,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Pravi vrh,1020,21,0,0,830,vrh
"Goriško, Notranjsko in Snežniško hribovje",Pravi vrh,1020,21,0,0,830,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bivak Črna peč,218336,60,2,2,830,bivak
"Goriško, Notranjsko in Snežniško hribovje",Bivak Črna peč,218336,60,2,2,830,bivak
"Goriško, Notranjsko in Snežniško hribovje",Podrta gora nad Ajdovščino,12672,39,3,3,827,vrh
"Goriško, Notranjsko in Snežniško hribovje",Podrta gora nad Ajdovščino,12672,39,3,3,827,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kurešček,524252,92,5,14,826,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Kurešček,524252,92,5,14,826,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Koča na Vrhu Svetih Treh Kraljev,363548,77,9,4,823,koča
"Goriško, Notranjsko in Snežniško hribovje",Koča na Vrhu Svetih Treh Kraljev,363548,77,9,4,823,koča
"Goriško, Notranjsko in Snežniško hribovje",Polšakova koča na Zagori,174324,55,2,7,822,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Polšakova koča na Zagori,174324,55,2,7,822,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Osojnica,335892,73,2,2,820,vrh
"Goriško, Notranjsko in Snežniško hribovje",Osojnica,335892,73,2,2,820,vrh
"Goriško, Notranjsko in Snežniško hribovje",Ljubljanski vrh,323099,72,1,1,819,vrh
"Goriško, Notranjsko in Snežniško hribovje",Ljubljanski vrh,323099,72,1,1,819,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lovska koča Trešnja ravan,2380,29,1,2,818,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Lovska koča Trešnja ravan,2380,29,1,2,818,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Sveti Socerb (Artviže),378847,78,3,8,817,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Sveti Socerb (Artviže),378847,78,3,8,817,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Goli vrh (Cemarovnik),174078,55,1,4,816,vrh
"Goriško, Notranjsko in Snežniško hribovje",Goli vrh (Cemarovnik),174078,55,1,4,816,vrh
"Goriško, Notranjsko in Snežniško hribovje",Medvedje Brdo,394011,80,6,8,814,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Medvedje Brdo,394011,80,6,8,814,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Korada,523097,92,3,2,812,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Korada,523097,92,3,2,812,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Globočak,194876,57,2,8,809,vrh
"Goriško, Notranjsko in Snežniško hribovje",Globočak,194876,57,2,8,809,vrh
